id,label
301118,2
300277,2
301589,2
303135,1
303052,2
301767,1
302619,1
303090,1
303346,2
301793,2
301080,1
303037,2
300634,1
300094,3
303338,2
300960,3
301168,3
304144,1
300155,1
300126,1
301208,1
301492,1
303626,1
301004,1
301599,1
303971,2
304025,1
304587,1
301698,2
304491,3
300434,3
301925,1
300712,1
304056,3
301093,1
304975,1
302491,2
304707,2
301351,3
300565,1
303168,1
300420,3
304934,2
301786,2
302716,2
300482,3
302794,1
300760,2
302748,1
304669,1
304667,3
300182,1
300840,2
300203,3
300177,1
304829,2
304643,1
301313,3
303207,3
301741,2
300870,2
302575,1
304989,1
303518,3
304714,1
301725,2
302087,2
302855,1
303373,3
304493,1
303607,3
303143,1
303634,1
302153,3
304854,3
302780,1
301469,3
302078,2
300456,2
300298,1
304634,3
302229,1
303155,2
301457,3
303678,2
304752,1
302916,2
301552,1
302404,1
301366,1
303612,1
303885,1
303528,2
302301,1
302821,1
301527,1
304503,1
301489,2
304240,3
301672,3
302696,1
303633,2
300519,2
301092,3
304664,3
304570,3
301586,2
301658,3
300075,2
301971,1
301660,2
301515,2
304685,3
304006,2
300883,1
302143,3
304631,3
302098,2
303462,2
303077,2
303604,2
304059,3
300163,1
300546,1
303490,1
302980,1
301955,1
303161,1
300629,2
301519,1
302184,1
303787,3
300253,2
301076,1
304219,2
301576,2
301894,2
302431,1
304019,3
303175,2
304998,3
303132,1
301656,2
300708,2
300408,2
304472,3
302503,1
303849,2
303610,1
300187,1
301523,1
304723,3
303480,3
303632,3
303625,2
302403,3
301474,1
304542,2
300590,3
303376,3
302006,1
300863,1
302760,2
304711,2
301099,1
301826,1
301943,2
301435,2
300759,2
303539,3
302618,1
301119,3
300023,2
303855,2
303149,1
303602,2
304697,1
301917,3
304708,2
300586,1
304947,1
304796,1
303785,3
301360,2
303200,1
304555,1
301507,2
304382,1
304530,2
300610,2
301881,3
301278,1
303567,1
301333,1
301273,1
303073,2
300928,1
304699,1
303443,2
302709,3
301283,3
303621,1
303429,1
301938,3
303416,3
301084,2
301521,2
303473,1
304145,2
304231,1
304639,1
301880,2
300158,3
302292,1
304455,2
303513,3
301905,3
302877,2
301584,1
304335,2
303327,2
304666,1
303485,2
303560,2
303986,3
300297,1
303481,1
303463,1
304994,3
300700,2
303228,3
302650,2
301052,1
301860,3
302645,1
300169,2
303875,1
301209,2
301641,3
304521,1
304286,1
300029,1
304730,1
304670,2
301946,1
301254,3
304713,1
304132,1
304655,3
301530,1
304199,3
300602,1
300985,2
301477,2
300604,2
302008,3
303671,3
304763,2
302511,2
300531,1
300827,1
303963,3
301737,1
304863,2
302994,1
303725,1
300017,1
300952,1
302204,2
301148,1
303029,1
303896,1
304494,3
302209,1
301794,2
300823,1
304273,1
303336,1
303743,3
301133,1
300289,1
302411,1
301201,2
304485,1
301790,3
303447,1
303009,1
303454,2
304799,1
300515,2
301812,1
302142,2
301665,2
303026,1
300108,2
301920,1
304411,1
300113,3
300661,1
301798,2
304086,1
304728,3
302666,1
303510,3
302862,1
304743,1
302041,2
301328,3
303085,2
300810,2
303719,1
301234,2
303669,1
300841,3
301245,1
304246,2
303823,3
302131,1
303007,3
300063,1
301055,1
300570,3
301358,1
